id,product_name,product_price,product_store,product_image,product_rating,api
0,vivo X200 Pro,270.000 - 29.900.000 đ,,https://p-vn.ipricegroup.com/uploaded_9be5758dd577f60094dece652dd2dc4e7ecb4420.jpg,,
1,Samsung Galaxy J5 Prime,399.000 - 4.600.000 đ,,https://p-vn.ipricegroup.com/uploaded_964abd2c77907d88a10ab32c171b1621.jpg,,
2,OPPO Neo 5,400.000 - 1.000.000 đ,,https://p-vn.ipricegroup.com/uploaded_0cb90f8d7dbc080e4c5340618be885ee.jpg,,
3,OPPO Neo 5 Trắng,436.100 - 890.000 đ,,https://p-vn.ipricegroup.com/uploaded_a55c02e191c607010a2a0a02a8a6cc9c.jpg,,
4,OPPO A37,450.000 - 6.990.000 đ,,https://p-vn.ipricegroup.com/uploaded_573831a748e3381cb5418505475e37b8.jpg,,
5,Meizu M6 Note,500.000 - 3.050.000 đ,,https://p-vn.ipricegroup.com/uploaded_fcfe4dbd771d391bf5389adabc89c1ce.jpg,,
6,Honor 8C,530.000 đ,,https://p-vn.ipricegroup.com/uploaded_68e124fa641e163d6ad3350c0758cd1a4f1fb1b1.jpg,,
7,Nokia Lumia 520,533.750 - 799.000 đ,,https://p-vn.ipricegroup.com/uploaded_13106b82f156bf99398548cb61bff043.jpg,,
8,Samsung Galaxy J5 Prime 16GB Đen,546.000 - 2.199.000 đ,,https://p-vn.ipricegroup.com/uploaded_6577265cf55a5f05270538adc3ec7da1.jpg,,
9,Samsung Galaxy J5 Prime 16GB Vàng,546.000 - 2.199.000 đ,,https://p-vn.ipricegroup.com/uploaded_a35ddbea5ff4a9c36cb74f66b0e285e5.jpg,,
10,Samsung Galaxy J5 Prime 16GB Hồng,546.000 - 2.100.000 đ,,https://p-vn.ipricegroup.com/uploaded_84faa4139c0b530c9d4b7a2bab04325b.jpg,,
11,BlackBerry Bold 9900,550.000 - 10.000.000 đ,,https://p-vn.ipricegroup.com/uploaded_4a5cf06d1f5d54007665a8e5162902b3.jpg,,
12,Oppo A83 32GB 3GB Vàng đồng,696.000 - 4.990.000 đ,,https://p-vn.ipricegroup.com/uploaded_08b7c0a6e6121adc45657500884fc12c.jpg,,
13,Oppo A83 32GB 3GB Xanh dương,696.000 - 2.660.000 đ,,https://p-vn.ipricegroup.com/uploaded_27a43c693445a5e58cec20665a8945b6.jpg,,
14,Oppo A83 32GB 3GB Đỏ,949.000 đ,,https://p-vn.ipricegroup.com/uploaded_3d3fbe1bf810e90022c22cefea72766f.jpg,,
15,Oppo A83,696.000 - 6.000.000 đ,,https://p-vn.ipricegroup.com/uploaded_f44aca9a0e6341464a8fbb754b82514f.jpg,,
16,Oppo A83 32GB 3GB Đen,696.000 - 6.000.000 đ,,https://p-vn.ipricegroup.com/uploaded_6fa968d9e279c7f9364d201fb0160f5d70e77efc.jpg,,
17,Samsung Galaxy J5,699.000 - 2.299.000 đ,,https://p-vn.ipricegroup.com/uploaded_bea6b8495177466ce1571c17746cfd64.jpg,,
18,OPPO Neo 5 Xanh,750.000 - 890.000 đ,,https://p-vn.ipricegroup.com/uploaded_1d7ce5e37f7dc7149cd0821edc91bebc.jpg,,
19,Samsung Galaxy J3 (2016),770.000 - 1.990.000 đ,,https://p-vn.ipricegroup.com/uploaded_3cc3605c7e51124e5215768063f6a724.jpg,,
20,BlackBerry Q10,790.000 - 5.500.000 đ,,https://p-vn.ipricegroup.com/uploaded_104e1c6de0a7bc6a7b9b9065b69c7df2.jpg,,
21,Samsung Galaxy J2 Pro (2018),795.000 - 2.400.000 đ,,https://p-vn.ipricegroup.com/uploaded_dc5fa71ac2a10129bb2b11ebe34b6fb6.jpg,,
22,Samsung Galaxy J3,799.000 - 1.990.000 đ,,https://p-vn.ipricegroup.com/uploaded_73f153edea42d91b150de0a3a889039b.jpg,,
23,Samsung Galaxy A10 Đỏ,799.000 - 3.090.000 đ,,https://p-vn.ipricegroup.com/uploaded_5eda06853ff16cbf1df0f963b16f2328.jpg,,
24,Samsung Galaxy A10 Xanh Dương,799.000 - 3.090.000 đ,,https://p-vn.ipricegroup.com/uploaded_5eda06853ff16cbf1df0f963b16f2328.jpg,,
25,Samsung Galaxy A10,799.000 - 3.090.000 đ,,https://p-vn.ipricegroup.com/uploaded_cad4349edcb5b575454c95dfd5ecc83c.jpg,,
26,OPPO A32,849.000 - 5.900.000 đ,,https://p-vn.ipricegroup.com/uploaded_20064b4e9649dfe913cf415a2dbfe70f.jpg,,
27,Microsoft Lumia 535,852.000 đ,,https://p-vn.ipricegroup.com/uploaded_937d2b2a6318f094738570017b6fd4ce.jpg,,
28,Samsung Galaxy M02,899.000 - 2.990.000 đ,,https://p-vn.ipricegroup.com/uploaded_64e6fb536897f64cb96a63f9332f7ef3.jpg,,
29,BlackBerry Bold 9900 Trắng,900.000 - 2.500.000 đ,,https://p-vn.ipricegroup.com/uploaded_846c8db8d974c42bcf56788e60c163bf.jpg,,
30,Huawei Honor 6X (2016),858.000 - 1.148.000 đ,,https://p-vn.ipricegroup.com/uploaded_f33e1a574bdee6d901812e9560eda328.jpg,,
